Lake George Water Temp 2020,
8/1/2020,75.54
8/1/2020,75.87
8/1/2020,76.21
8/1/2020,76.89
8/1/2020,77
8/1/2020,77.34
8/1/2020,77.34
8/1/2020,77.45
8/1/2020,77.79
8/1/2020,77.79
8/1/2020,77.45
8/1/2020,77.45
8/1/2020,77.34
8/1/2020,77.11
8/1/2020,77
8/1/2020,77
8/1/2020,77
8/1/2020,77
8/1/2020,76.89
8/1/2020,76.78
8/2/2020,76.78
8/2/2020,76.55
8/2/2020,76.55
8/2/2020,76.55
8/2/2020,76.44
8/2/2020,76.21
8/2/2020,76.32
8/2/2020,76.32
8/2/2020,76.32
8/2/2020,76.32
8/2/2020,76.32
8/2/2020,76.32
8/2/2020,76.66
8/2/2020,76.55
8/2/2020,76.78
8/2/2020,76.55
8/2/2020,76.66
8/2/2020,76.66
8/2/2020,76.66
8/2/2020,76.66
8/2/2020,76.66
8/2/2020,76.44
8/2/2020,76.32
8/2/2020,75.87
8/2/2020,75.65
8/3/2020,75.54
8/3/2020,75.65
8/3/2020,75.54
8/3/2020,75.54
8/3/2020,74.64
8/3/2020,74.64
8/3/2020,74.64
8/3/2020,74.64
8/3/2020,74.75
8/3/2020,74.97
8/3/2020,75.43
8/3/2020,75.43
8/3/2020,75.31
8/3/2020,74.75
8/4/2020,74.86
8/4/2020,74.53
8/4/2020,74.53
8/4/2020,74.41
8/4/2020,74.41
8/4/2020,74.41
8/4/2020,74.3
8/4/2020,74.41
8/4/2020,74.53
8/4/2020,74.53
8/4/2020,74.53
8/4/2020,74.53
8/4/2020,74.53
